11-05-2023	04:15:09 	 f8a09a1a-b77e-4c33-b993-48ef8ce19b26 	 GET 	 undefined 	 /new-page.html 
11-05-2023	04:15:09 	 c70280a3-b36f-470c-ac3b-2d5ff8863b97 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:15:09 	 deb2ae6c-baf0-47c0-bb86-7795e7b48e93 	 GET 	 undefined 	 /img/img1.jpg 
11-05-2023	04:15:14 	 f65516e8-0d5c-4334-a4c7-2a4703a4cb95 	 GET 	 undefined 	 / 
11-05-2023	04:15:14 	 5c30da86-bde5-403c-9b0a-6d522156f541 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:15:34 	 d6afd437-b09a-45c3-8ca2-7d37ea26da8f 	 GET 	 undefined 	 / 
11-05-2023	04:15:35 	 908751d1-2be4-48c4-93e1-cf2bd64d3085 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:15:35 	 b2162284-d683-4d48-a705-5a18d4086bdd 	 GET 	 undefined 	 / 
11-05-2023	04:15:35 	 0674d92f-3a3d-4ee4-a781-bd3ca4c33980 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:15:39 	 4a48d522-d98e-41b9-bdf0-4f261b059abc 	 GET 	 undefined 	 /new-page.html 
11-05-2023	04:15:39 	 d9ecd8a3-7dc4-403a-b75a-3af1a9c2bc6e 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:15:39 	 d713601b-f316-4f49-873d-8eafac834519 	 GET 	 undefined 	 /img/img1.jpg 
11-05-2023	04:17:51 	 80a5bfd6-c951-48d1-aab3-a39aa8c49fab 	 OPTIONS 	 https://www.google.com 	 / 
11-05-2023	04:17:51 	 41d51f0c-2f6c-4c79-9fa2-7ca443c16357 	 GET 	 https://www.google.com 	 / 
11-05-2023	04:18:10 	 07aab18f-2dce-4bbc-a801-aa35d56eaa47 	 GET 	 undefined 	 /new-page.html 
11-05-2023	04:18:10 	 2b409935-b6c6-4b59-a396-bb990cc3f540 	 GET 	 undefined 	 /css/style.css 
11-05-2023	04:18:10 	 3faee3e2-cadb-48d3-9b95-307e406b373a 	 GET 	 undefined 	 /img/img1.jpg 
